"dbn","district","school","_2010_2011_overall_grade","_2010_2011_overall_score","_2010_2011_progress_category_score","_2010_2011_progress_grade","school_level"
"02M126","2","P.S. 126 Jacob August Riis","A","67.8","41.1","A","K-8"
"02M130","2","P.S. 130 Hernando De Soto","A","69.8","37.7","A","Elementary"
"02M131","2","M.S. 131","A","68.3","44.6","A","Middle"
"02M150","2","P.S. 150","C","32.4","10.4","F","Elementary"
"02M158","2","P.S. 158 Bayard Taylor","B","50.9","28.9","B","Elementary"
"02M167","2","J.H.S. 167 Robert F. Wagner","A","62.2","33.8","B","Middle"
"02M183","2","P.S. 183 Robert L. Stevenson","B","43.5","22.9","C","Elementary"
"02M198","2","P.S. 198 Isador E. Ida Straus","C","26.7","15.4","C","Elementary"
"02M212","2","P.S. 212 Midtown West","B","53.6","22.9","C","Elementary"
"02M217","2","P.S./I.S. 217 Roosevelt Island","D","23.8","10.4","D","K-8"
"02M225","2","Ella Baker School","C","39.2","23.4","C","K-8"
"02M234","2","P.S. 234 Independence School","A","59.4","33.3","B","Elementary"
"02M255","2","M.S. 255 Salk School of Science","A","80.1","46.6","A","Middle"
"02M260","2","M.S. 260 Clinton School Writers & Artists","B","55.0","26.6","B","Middle"
"02M276","2","BATTERY PARK CITY SCHOOL","A","78.3","49.1","A","Middle"
"02M288","2","Food and Finance High School","A","79.4","41.8","B","High School"
"02M289","2","I.S. 289","B","57.0","29.0","B","Middle"
"02M290","2","P.S. 290 Manhattan New School","A","73.6","42.1","A","Elementary"
"02M294","2","Essex Street Academy","B","66.0","37.0","B","High School"
"02M296","2","High School of Hospitality Management","A","83.7","43.4","A","High School"
"02M298","2","Pace High School","A","73.7","42.0","A","High School"
"02M300","2","Urban Assembly School of Design and Construction, The","B","60.1","31.0","C","High School"
"02M303","2","Facing History School, The","B","65.4","34.4","C","High School"
"02M305","2","Urban Assembly Academy of Government and Law, The","C","49.0","25.9","D","High School"
"02M308","2","Lower Manhattan Arts Academy","A","79.3","42.6","A","High School"
"02M312","2","New York City Lab Middle School for Collaborative","A","84.6","47.4","A","Middle"
"02M313","2","James Baldwin School, The: A School for Expeditionary Learning","C","52.6","26.6","D","Transfer High School"
"02M316","2","Urban Assembly School of Business for Young Women, the","B","60.2","31.5","C","High School"
"02M347","2","The 47 American Sign Language & English Lower Scho","A","75.0","50.3","A","K-8"
